period,industry_branch,seasonally_adjusted_production,calendar_corrected_production_change_year_on_year,previous_period_seasonally_adjusted_production_change
2025-10-01,pharma,114.6,-2.6,-0.3
2025-10-01,total_manufacturing,104.8,1.7,0.2
2025-11-01,chemicals,81.5,0,2.9
2025-11-01,pharma,104.3,-10.1,-9
2025-11-01,total_manufacturing,103.8,0.3,-0.9
2025-12-01,chemicals,77.8,-3.1,-4.6
2025-12-01,pharma,85,-18.2,-18.5
2025-12-01,total_manufacturing,104.1,1.4,0.3
2026-01-01,chemicals,76.3,-7.3,-1.8
2026-01-01,pharma,105.2,-0.1,23.8
2026-01-01,total_manufacturing,104.5,1.1,0.4
